"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.699798584E0,-8.903869987E-1,-5.873517990E-1,-9.605948329E-1
2.719940185E0,-9.589645863E-1,-3.081893921E-1,-9.686277509E-1
2.740081787E0,-1.023918629E0,-8.296012878E-3,-9.829611778E-1
2.760253906E0,-1.045570850E0,2.987384796E-1,-1.009639025E0
2.780395508E0,-9.835416675E-1,6.015377045E-1,-1.002302170E0
2.800537109E0,-8.629774451E-1,8.526020050E-1,-9.381815195E-1
2.820678711E0,-7.254428864E-1,1.087649345E0,-8.518663645E-1
2.840850830E0,-6.230238676E-1,1.316062927E0,-7.703652382E-1
2.860992432E0,-5.877833366E-1,1.576121330E0,-6.997739673E-1
2.881134033E0,-6.367474198E-1,1.839601517E0,-6.661029458E-1
2.901306152E0,-7.019990087E-1,2.083361626E0,-6.424527764E-1
2.921447754E0,-6.934564710E-1,2.250505447E0,-6.170687079E-1
2.941589355E0,-5.731786489E-1,2.322402000E0,-5.292834044E-1
2.961730957E0,-3.685543537E-1,2.254197121E0,-4.085004330E-1
2.981903076E0,-1.721279025E-1,2.118527412E0,-2.681767046E-1
3.002044678E0,-5.048224330E-2,1.956843376E0,-1.584215313E-1
3.022186279E0,-4.364025593E-2,1.784112930E0,-7.358864695E-2
3.042327881E0,-8.829563856E-2,1.612578392E0,-1.663231850E-2
3.062500000E0,-1.198295951E-1,1.422579765E0,3.882551193E-2
3.082641601E0,-4.847532511E-2,1.189295769E0,1.035180092E-1
3.102783203E0,1.064212918E-1,8.907728195E-1,2.371578515E-1
3.122924805E0,2.901344299E-1,5.825328827E-1,3.987314701E-1
3.143096924E0,4.542469978E-1,3.061151505E-1,5.194244385E-1
3.163238525E0,5.336048603E-1,1.026716232E-1,6.062593460E-1
3.183380127E0,5.443092585E-1,-6.840896606E-2,6.687821746E-1
3.203521728E0,5.013186932E-1,-1.864671707E-1,7.375985980E-1
3.223693848E0,4.728591442E-1,-2.890081406E-1,7.747697830E-1
3.243835449E0,4.487859011E-1,-4.112930298E-1,9.052182436E-1
3.263977051E0,5.771086216E-1,-5.232515335E-1,9.248683453E-1
3.284149170E0,7.017461061E-1,-6.295375824E-1,1.017580748E0
3.304290771E0,7.540669441E-1,-6.768541336E-1,1.081993222E0
3.324432373E0,7.999342680E-1,-7.461881638E-1,1.196407318E0
3.344573975E0,7.888468504E-1,-7.821664810E-1,1.300549984E0
3.364746094E0,7.642610073E-1,-7.945137024E-1,1.378634691E0
3.384887695E0,6.991720200E-1,-7.409734726E-1,1.405872583E0
3.405029297E0,6.398761272E-1,-6.852588654E-1,1.375800490E0
3.425170898E0,6.027103662E-1,-6.119918823E-1,1.366739392E0
3.445343017E0,6.222666502E-1,-5.287866592E-1,1.351027489E0
3.465484619E0,6.571493149E-1,-4.350624084E-1,1.309568286E0
3.485626221E0,6.965311766E-1,-3.456640244E-1,1.250500560E0
3.505767822E0,6.528316736E-1,-2.087259293E-1,1.186413646E0
3.525939941E0,5.414614081E-1,-3.717136383E-2,1.077794552E0
3.546081543E0,3.735456467E-1,1.177301407E-1,1.024792314E0
3.566223144E0,2.430722117E-1,2.394742966E-1,1.006942153E0
3.586364746E0,1.494759917E-1,3.808832169E-1,9.754608870E-1
3.606536865E0,1.188640594E-1,5.255012512E-1,9.067623615E-1
3.626678467E0,1.328731775E-1,6.645307541E-1,8.334242105E-1
3.646820068E0,1.551536322E-1,8.677663803E-1,6.825592518E-1
3.666992187E0,1.385334134E-1,1.034942627E0,5.218847990E-1
3.687133789E0,5.368280411E-2,1.173412323E0,3.930944800E-1
3.707275391E0,-3.592449427E-2,1.300176620E0,2.994141579E-1
3.727416992E0,-1.105721593E-1,1.372587204E0,2.530236244E-1
3.747589111E0,-1.802842617E-1,1.419909477E0,2.019834816E-1
3.767730713E0,-2.350994945E-1,1.463826180E0,1.351891458E-1
3.787872314E0,-2.257321179E-1,1.494803429E0,1.321621239E-2
3.808013916E0,-2.279119790E-1,1.501032829E0,-1.349900663E-1
