"Time (s)","Illuminance (lx)"
2.254937900E1,1.400000000E2
2.265971700E1,1.390000000E2
2.277026200E1,1.400000000E2
2.288032800E1,1.390000000E2
2.299019700E1,1.400000000E2
2.309962100E1,1.390000000E2
2.321106300E1,1.400000000E2
2.332036200E1,1.390000000E2
2.343029800E1,1.400000000E2
2.354308800E1,1.390000000E2
2.365028300E1,1.400000000E2
2.376118600E1,1.390000000E2
2.386989300E1,1.400000000E2
2.397963500E1,1.390000000E2
2.408962800E1,1.400000000E2
2.419947100E1,1.390000000E2
2.431026500E1,1.400000000E2
2.442250300E1,1.390000000E2
2.453045000E1,1.400000000E2
2.464000500E1,1.380000000E2
2.475032300E1,1.400000000E2
2.485966600E1,1.390000000E2
2.518948400E1,1.400000000E2
2.530047800E1,1.390000000E2
2.541055300E1,1.400000000E2
2.551961300E1,1.390000000E2
2.563175000E1,1.400000000E2
2.573984100E1,1.390000000E2
2.585067300E1,1.400000000E2
2.596006200E1,1.390000000E2
2.607118600E1,1.400000000E2
2.618093100E1,1.390000000E2
2.640195400E1,1.380000000E2
2.651055900E1,1.400000000E2
2.662143400E1,1.390000000E2
2.673121800E1,1.400000000E2
2.684065700E1,1.390000000E2
2.695101700E1,1.400000000E2
2.706149500E1,1.390000000E2
2.717037800E1,1.400000000E2
2.728025900E1,1.390000000E2
2.739114500E1,1.400000000E2
2.750022800E1,1.390000000E2
2.761200800E1,1.400000000E2
2.771966600E1,1.390000000E2
2.783051800E1,1.400000000E2
2.794029600E1,1.390000000E2
2.805042200E1,1.400000000E2
2.816053700E1,1.390000000E2
2.827084900E1,1.400000000E2
2.838020700E1,1.390000000E2
2.871341800E1,1.400000000E2
2.882024400E1,1.390000000E2
2.893058800E1,1.400000000E2
2.904030000E1,1.390000000E2
2.915884800E1,1.400000000E2
2.925993500E1,1.390000000E2
2.937066300E1,1.400000000E2
2.948116800E1,1.390000000E2
2.959096500E1,1.400000000E2
2.970119600E1,1.390000000E2
2.981185500E1,1.400000000E2
2.992173500E1,1.390000000E2
3.025368400E1,1.400000000E2
